time,major,category,num_asleep,year,count
2/17/20 1:15,Urban Studies,CAS,1.0,2022,1
2/17/20 1:15,Computer Science,ENG,9.75,2021,16
2/17/20 1:15,Political Science,CAS,1.0,2022,1
2/17/20 1:15,Misc,N/A,4.25,N/A,10
2/17/20 1:15,Statistics,Wharton,2.0,2020,2
2/17/20 1:15,Communications,CAS,1.0,2021,1
2/17/20 1:15,English,CAS,1.0,2021,2
2/17/20 1:15,Finance,Wharton,2.0,2021,2
2/17/20 1:15,Finance and Computer Science,NULL,1.0,2021,1
2/17/20 1:15,Business Analytics,Wharton,1.0,2020,2
2/17/20 1:15,Political Science,CAS,1.25,2023,2
2/17/20 1:15,BBB,CAS,1.75,2020,4
2/17/20 1:15,Misc,N/A,1.0,2022,1
2/17/20 1:15,Computer Science,ENG,1.0,2020,1
2/17/20 1:15,Undecided,NULL,1.0,2023,1
2/17/20 1:15,Music,CAS,1.0,2020,1
2/17/20 1:15,PPE,CAS,1.0,2020,1
2/17/20 1:15,Finance,Wharton,1.0,2020,2
2/17/20 1:15,Business Analytics,Wharton,1.25,2021,2
2/17/20 1:15,Economics,CAS,1.0,2021,1
2/17/20 1:15,Nursing,NURS,1.0,2022,1
2/17/20 1:15,Misc,N/A,2.25,2023,4
2/17/20 1:15,CBE,ENG,1.0,2023,2
2/17/20 1:15,Systems Engineering,NULL,1.25,2023,2
2/17/20 1:15,GSWS,CAS,1.0,2020,1
2/17/20 1:30,BBB,CAS,2.0,2023,2
2/17/20 1:30,Nutrition,CAS,1.0,2022,1
2/17/20 1:30,Computer Science,ENG,2.5,2023,4
2/17/20 1:30,Business Analytics,Wharton,1.5,2022,2
2/17/20 1:30,CBE,ENG,1.0,2021,2
2/17/20 1:30,Philosophy,CAS,1.0,2021,1
2/17/20 1:30,DMD,ENG,5.0,2021,7
2/17/20 1:30,Cognitive Science,NULL,1.0,2023,1
2/17/20 1:30,CBE,ENG,1.0,2022,2
2/17/20 1:30,Political Science,CAS,1.0,2021,2
2/17/20 1:30,OIDD,Wharton,2.0,2020,2
2/17/20 1:30,BBB,CAS,3.5,2022,6
2/17/20 1:30,Chemistry,CAS,1.0,2023,1
2/17/20 1:30,Computer Science,ENG,7.5,2022,21
2/17/20 1:30,International Studies and Business,NULL,1.0,2023,1
2/17/20 1:30,Statistics,Wharton,3.0,2021,3
2/17/20 1:30,Economics,CAS,1.5,2023,2
2/17/20 1:30,Nursing,NURS,1.0,2020,1
2/17/20 1:30,Mathematical Economics,CAS,1.0,2021,1
2/17/20 1:30,Finance,Wharton,2.5,2022,7
2/17/20 1:30,SSE,NULL,1.0,2020,1
2/17/20 1:30,Neuroscience,NULL,1.0,2022,1
2/17/20 1:30,BBB,CAS,2.0,2021,2
2/17/20 1:30,Misc,N/A,1.0,2021,1
2/17/20 1:30,Urban Studies,CAS,1.0,2022,1
2/17/20 1:30,Computer Science,ENG,10.5,2021,16
2/17/20 1:30,Political Science,CAS,1.0,2022,1
2/17/20 1:30,Misc,N/A,5.5,N/A,10
2/17/20 1:30,Statistics,Wharton,2.0,2020,2
2/17/20 1:30,Communications,CAS,1.0,2021,1
