time,major,category,num_asleep
2/17/20 9:00,Fine Arts,NULL,1
2/17/20 9:00,Marketing,NULL,2
2/17/20 9:00,Econ,NULL,1
2/17/20 9:00,jess ling,NULL,1
2/17/20 9:00,Computer Science,STEM,22
2/17/20 9:00,SSE 2020,NULL,1
2/17/20 9:00,Finance 2021,NULL,1
2/17/20 9:00,DMD 2021,NULL,1
2/17/20 9:00,biology,NULL,1
2/17/20 9:00,Brendan Yoo,NULL,1
2/17/20 9:00,BBB,NULL,3
2/17/20 9:00,Business Analytics,NULL,3
2/17/20 9:00,Communications,NULL,1
2/17/20 9:00,Cognitive Science,NULL,1
2/17/20 9:00,English,NULL,1
2/17/20 9:00,Bioengineering,NULL,2
2/17/20 9:00,Chemical and Bioengineering,NULL,1
2/17/20 9:00,PPE,NULL,2
2/17/20 9:00,Misc,NULL,2
2/17/20 9:00,Misc.1,NULL,1
2/17/20 9:00,2022,NULL,1
2/17/20 9:00,OIDD,NULL,2
2/17/20 10:00,SSE 2020,NULL,1
2/17/20 10:00,Statisticsistics,NULL,1
2/17/20 10:00,Statistics,NULL,1
2/17/20 10:00,DMD,NULL,4
2/17/20 10:00,Finance,NULL,1
2/17/20 10:00,PPE,NULL,1
2/17/20 10:00,Fine Arts,NULL,1
2/17/20 10:00,Marketing,NULL,2
2/17/20 10:00,Brendan Yoo,NULL,1
2/17/20 10:00,Philosophy,NULL,1
2/17/20 10:00,Misc,NULL,1
2/17/20 10:00,Biology,NULL,1
2/17/20 10:00,jess ling,NULL,1
2/17/20 10:00,BBB,NULL,1
2/17/20 10:00,Business Analytics,NULL,2
2/17/20 10:00,Computer Science,STEM,11
2/17/20 10:00,Political Science,HUM,1
2/17/20 10:00,English,NULL,1
2/17/20 10:00,OIDD,NULL,1
2/17/20 10:00,Bioengineering,NULL,2
2/17/20 10:00,Finance 2021,NULL,1
2/17/20 11:00,SSE 2020,NULL,1
2/17/20 11:00,DMD,NULL,3
2/17/20 11:00,Fine Arts,NULL,1
2/17/20 11:00,Marketing,NULL,1
2/17/20 11:00,Computer Science,STEM,4
2/17/20 11:00,Political Science,HUM,1
2/17/20 11:00,English,NULL,1
2/17/20 11:00,Bioengineering,NULL,1
2/17/20 12:00,Marketing,NULL,1
2/17/20 12:00,DMD,NULL,1
2/17/20 12:00,Computer Science,STEM,3
2/17/20 13:00,Marketing,NULL,1
2/17/20 13:00,Computer Science,STEM,4
2/17/20 14:00,Computer Science,STEM,1
2/17/20 15:00,Computer Science,STEM,1
2/17/20 16:00,Computer Science,STEM,1
2/17/20 16:00,jess ling,NULL,1
2/17/20 17:00,Computer Science,STEM,1
2/17/20 17:00,jess ling,NULL,1
2/17/20 18:00,Computer Science,STEM,1
2/17/20 18:00,jess ling,NULL,1
2/17/20 19:00,BBB,NULL,1
2/17/20 19:00,Computer Science,STEM,1
2/17/20 20:00,BBB,NULL,1
2/17/20 20:00,Computer Science,STEM,1
2/17/20 21:00,BBB,NULL,1
2/17/20 22:00,Nutrition,NULL,1
2/17/20 22:00,Biology,NULL,1
2/17/20 22:00,Finance,NULL,1
2/17/20 22:00,Economics,NULL,1
2/17/20 22:00,BBB,NULL,1
2/17/20 22:00,Finance and Computer Science,NULL,1
2/17/20 22:00,Commications,NULL,1
2/17/20 22:00,Nursing,NULL,1
2/17/20 23:00,Nutrition,NULL,1
2/17/20 23:00,Biology,NULL,1
2/17/20 23:00,DMD,NULL,1
2/17/20 23:00,Nursing,NULL,1
2/17/20 23:00,Economics,NULL,1
2/17/20 23:00,Misc,NULL,1
2/17/20 23:00,jess ling,NULL,1
2/17/20 23:00,Finance and Computer Science,NULL,1
2/17/20 23:00,Commications,NULL,1
2/17/20 23:00,Finance,NULL,1
2/18/20 0:00,Statistics,NULL,2
2/18/20 0:00,DMD,NULL,2
2/18/20 0:00,Political Science,HUM,1
2/18/20 0:00,Nutrition,NULL,1
2/18/20 0:00,Biology,NULL,1
2/18/20 0:00,Finance,NULL,3
2/18/20 0:00,Computer Science,STEM,3
2/18/20 0:00,DMD 2021,NULL,1
2/18/20 0:00,Katie Busch,NULL,1
2/18/20 0:00,PPE & GSWS,NULL,1
2/18/20 0:00,Brendan Yoo,NULL,1
2/18/20 0:00,Economics,NULL,1
2/18/20 0:00,BBB,NULL,2
2/18/20 0:00,Finance and Computer Science,NULL,1
2/18/20 0:00,Business Analytics,NULL,1
2/18/20 0:00,Communications,NULL,1
2/18/20 0:00,English,NULL,1
2/18/20 0:00,Bioengineering,NULL,2
2/18/20 0:00,Chemical and Bioengineering,NULL,1
2/18/20 0:00,Nursing,NULL,1
2/18/20 0:00,Misc,NULL,2
2/18/20 0:00,Urban Studies,NULL,1
2/18/20 1:00,Systems Engineering,NULL,1
2/18/20 1:00,Statistics,NULL,5
2/18/20 1:00,DMD,NULL,2
2/18/20 1:00,ECON,NULL,1
2/18/20 1:00,Mathematical Economics,NULL,1
2/18/20 1:00,Political Science,HUM,3
2/18/20 1:00,Nutrition,NULL,2
2/18/20 1:00,Biology,NULL,2
2/18/20 1:00,Finance,NULL,4
2/18/20 1:00,Fine Arts,NULL,1
2/18/20 1:00,Econ,NULL,1
2/18/20 1:00,Computer Science,STEM,12
2/18/20 1:00,SSE 2020,NULL,1
2/18/20 1:00,International Studies and Business,NULL,1
2/18/20 1:00,Katie Busch,NULL,1
2/18/20 1:00,biology,NULL,1
2/18/20 1:00,PPE & GSWS,NULL,1
2/18/20 1:00,Brendan Yoo,NULL,1
2/18/20 1:00,Economics,NULL,1
2/18/20 1:00,BBB,NULL,5
2/18/20 1:00,Finance and Computer Science,NULL,1
2/18/20 1:00,Business Analytics,NULL,4
2/18/20 1:00,Communications,NULL,1
2/18/20 1:00,Cognitive Science,NULL,1
2/18/20 1:00,English,NULL,1
2/18/20 1:00,Bioengineering,NULL,3
2/18/20 1:00,Chemistry,NULL,1
2/18/20 1:00,Chemical and Bioengineering,NULL,1
2/18/20 1:00,History,NULL,1
2/18/20 1:00,Nursing,NULL,2
2/18/20 1:00,DMD 2021,NULL,1
2/18/20 1:00,Misc,NULL,3
2/18/20 1:00,Urban Studies,NULL,1
2/18/20 1:00,OIDD,NULL,2
2/18/20 2:00,Systems Engineering,NULL,2
2/18/20 2:00,Statistics,NULL,5
2/18/20 2:00,DMD,NULL,3
2/18/20 2:00,ECON,NULL,1
2/18/20 2:00,Mathematical Economics,NULL,1
2/18/20 2:00,Political Science,HUM,4
2/18/20 2:00,Commications,NULL,1
2/18/20 2:00,Nutrition,NULL,2
2/18/20 2:00,Biology,NULL,2
2/18/20 2:00,Finance,NULL,7
2/18/20 2:00,Mechanical Engineering,NULL,1
2/18/20 2:00,Fine Arts,NULL,1
2/18/20 2:00,Econ,NULL,1
2/18/20 2:00,Computer Science,STEM,22
2/18/20 2:00,SSE 2020,NULL,1
2/18/20 2:00,Finance 2021,NULL,1
2/18/20 2:00,International Studies and Business,NULL,1
2/18/20 2:00,Katie Busch,NULL,1
2/18/20 2:00,biology,NULL,1
2/18/20 2:00,PPE & GSWS,NULL,1
2/18/20 2:00,Brendan Yoo,NULL,1
